Team,G,W,L,WIN%,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks*,82,43,39,0.524,19880,3123,6919,0.451,729,2137,0.341,2394,4782,0.501,1484,2039,0.728,844,2793,3637,1938,672,397,1294,1491,8459
Boston Celtics*,82,53,29,0.646,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,341,1088,1686,8857
Brooklyn Nets,82,20,62,0.244,19755,3102,6987,0.444,877,2592,0.338,2225,4395,0.506,1592,2020,0.788,720,2879,3599,1756,594,387,1356,1726,8673
Charlotte Hornets,82,36,46,0.439,19830,3093,7000,0.442,824,2347,0.351,2269,4653,0.488,1591,1953,0.815,721,2853,3574,1891,571,390,942,1360,8601
Chicago Bulls*,82,41,41,0.5,19780,3169,7142,0.444,623,1830,0.34,2546,5312,0.479,1474,1848,0.798,999,2796,3795,1851,644,394,1110,1455,8435
Cleveland Cavaliers*,82,51,31,0.622,19880,3275,6963,0.47,1067,2779,0.384,2208,4184,0.528,1431,1913,0.748,767,2822,3589,1858,540,329,1122,1486,9048
Dallas Mavericks,82,33,49,0.402,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,648,2516,3164,1705,615,309,972,1567,8029
Denver Nuggets,82,40,42,0.488,19755,3377,7194,0.469,870,2365,0.368,2507,4829,0.519,1537,1986,0.774,966,2836,3802,2077,568,324,1225,1567,9161
Detroit Pistons,82,37,45,0.451,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1731,574,310,973,1467,8309
Golden State Warriors*,82,67,15,0.817,19780,3532,7140,0.495,982,2563,0.383,2550,4577,0.557,1457,1850,0.788,771,2873,3644,2490,785,555,1211,1585,9503
Houston Rockets*,82,55,27,0.671,19780,3305,7152,0.462,1181,3306,0.357,2124,3846,0.552,1667,2177,0.766,892,2747,3639,2070,670,351,1241,1634,9458
Indiana Pacers*,82,42,40,0.512,19855,3221,6932,0.465,709,1885,0.376,2512,5047,0.498,1467,1811,0.81,742,2702,3444,1844,669,411,1128,1597,8618
Los Angeles Clippers*,82,51,31,0.622,19755,3242,6819,0.475,841,2245,0.375,2401,4574,0.525,1586,2128,0.745,740,2790,3530,1848,613,349,1064,1626,8911
Los Angeles Lakers,82,26,56,0.317,19705,3224,7164,0.45,730,2110,0.346,2494,5054,0.493,1397,1853,0.754,933,2636,3569,1716,675,320,1243,1698,8575
Memphis Grizzlies*,82,43,39,0.524,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,885,2621,3506,1744,654,343,1060,1840,8239
Miami Heat,82,41,41,0.5,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,873,2706,3579,1742,586,469,1102,1680,8460
Milwaukee Bucks*,82,42,40,0.512,19780,3182,6715,0.474,720,1946,0.37,2462,4769,0.516,1413,1839,0.768,723,2589,3312,1984,666,436,1145,1660,8497
Minnesota Timberwolves,82,31,51,0.378,19805,3235,6922,0.467,601,1724,0.349,2634,5198,0.507,1586,1986,0.799,938,2540,3478,1940,654,370,1150,1646,8657
New Orleans Pelicans,82,34,48,0.415,19905,3210,7130,0.45,768,2196,0.35,2442,4934,0.495,1368,1825,0.75,706,2879,3585,1869,638,453,1054,1490,8556
New York Knicks,82,31,51,0.378,19855,3244,7255,0.447,704,2022,0.348,2540,5233,0.485,1364,1731,0.788,982,2722,3704,1786,581,456,1139,1668,8556
Oklahoma City Thunder*,82,47,35,0.573,19805,3237,7169,0.452,692,2116,0.327,2545,5053,0.504,1575,2113,0.745,1002,2821,3823,1721,648,408,1230,1715,8741
Orlando Magic,82,29,53,0.354,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,395,1091,1584,8288
Philadelphia 76ers,82,28,54,0.341,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400
Phoenix Suns,82,24,58,0.293,19830,3270,7260,0.45,615,1854,0.332,2655,5406,0.491,1676,2159,0.776,977,2712,3689,1604,673,399,1266,2030,8831
Portland Trail Blazers*,82,41,41,0.5,19930,3243,7059,0.459,852,2272,0.375,2391,4787,0.499,1513,1940,0.78,830,2750,3580,1733,574,408,1126,1736,8851
Sacramento Kings,82,32,50,0.39,19880,3105,6735,0.461,737,1961,0.376,2368,4774,0.496,1483,1913,0.775,715,2661,3376,1844,626,325,1201,1667,8430
San Antonio Spurs*,82,61,21,0.744,19805,3222,6864,0.469,753,1927,0.391,2469,4937,0.5,1440,1806,0.797,822,2777,3599,1954,654,486,1101,1498,8637
Toronto Raptors*,82,51,31,0.622,19780,3211,6918,0.464,725,1996,0.363,2486,4922,0.505,1615,2028,0.796,871,2676,3547,1517,677,401,1041,1708,8762
Utah Jazz*,82,51,31,0.622,19755,3033,6514,0.466,791,2128,0.372,2242,4386,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1119,1545,8258
Washington Wizards*,82,49,33,0.598,19855,3388,7136,0.475,756,2030,0.372,2632,5106,0.515,1421,1812,0.784,842,2670,3512,1956,693,340,1161,1745,8953
Atlanta Hawks*,82,48,34,0.585,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433
Boston Celtics*,82,48,34,0.585,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669
Brooklyn Nets,82,21,61,0.256,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089
Charlotte Hornets*,82,48,34,0.585,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479
Chicago Bulls,82,42,40,0.512,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.464,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335
Cleveland Cavaliers*,82,57,25,0.695,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555
Dallas Mavericks*,82,42,40,0.512,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388
Denver Nuggets,82,33,49,0.402,19830,3093,7003,0.442,656,1943,0.338,2437,5060,0.482,1513,1974,0.766,941,2718,3659,1858,609,395,1202,1723,8355
Detroit Pistons*,82,44,38,0.537,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361
Golden State Warriors*,82,73,9,0.89,19880,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421
Houston Rockets*,82,41,41,0.5,19830,3094,6847,0.452,878,2533,0.347,2216,4314,0.514,1671,2407,0.694,930,2601,3531,1821,821,430,1307,1790,8737
Indiana Pacers*,82,45,37,0.549,19880,3142,6985,0.45,663,1889,0.351,2479,5096,0.486,1430,1872,0.764,847,2779,3626,1741,742,391,1219,1641,8377
Los Angeles Clippers*,82,53,29,0.646,19830,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569
Los Angeles Lakers,82,17,65,0.207,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982
Memphis Grizzlies*,82,42,40,0.512,19830,3019,6859,0.44,504,1521,0.331,2515,5338,0.471,1584,2024,0.783,916,2497,3413,1697,724,350,1090,1783,8126
Miami Heat*,82,48,34,0.585,19830,3150,6697,0.47,498,1480,0.336,2652,5217,0.508,1406,1889,0.744,807,2811,3618,1709,553,531,1155,1502,8204
Milwaukee Bucks,82,33,49,0.402,19830,3145,6740,0.467,440,1277,0.345,2705,5463,0.495,1392,1863,0.747,858,2559,3417,1895,672,475,1247,1695,8122
Minnesota Timberwolves,82,29,53,0.354,19880,3095,6668,0.464,455,1347,0.338,2640,5321,0.496,1753,2213,0.792,821,2587,3408,1916,656,375,1231,1696,8398
New Orleans Pelicans,82,30,52,0.366,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713,8423
New York Knicks,82,32,50,0.39,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1099,1616,8065
Oklahoma City Thunder*,82,55,27,0.671,19830,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1305,1691,9038
Orlando Magic,82,35,47,0.427,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.492,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701,8369
Philadelphia 76ers,82,10,72,0.122,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780,7988
Phoenix Suns,82,23,59,0.28,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.751,943,2733,3676,1701,632,313,1410,1858,8271
Portland Trail Blazers*,82,44,38,0.537,19805,3167,7040,0.45,864,2336,0.37,2303,4704,0.49,1424,1889,0.754,948,2782,3730,1748,562,380,1200,1782,8622
Sacramento Kings,82,33,49,0.402,19805,3283,7083,0.464,660,1839,0.359,2623,5244,0.5,1514,2089,0.725,868,2760,3628,2009,733,368,1326,1676,8740
San Antonio Spurs*,82,67,15,0.817,19705,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.803,770,2831,3601,2010,677,485,1071,1433,8490
Toronto Raptors*,82,56,26,0.683,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422
Utah Jazz,82,40,42,0.488,19955,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010
Washington Wizards,82,41,41,0.5,19755,3238,7033,0.46,709,1983,0.358,2529,5050,0.501,1349,1849,0.73,743,2688,3431,2005,708,323,1186,1708,8534
Atlanta Hawks*,82,60,22,0.732,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409
Boston Celtics*,82,40,42,0.488,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312
Brooklyn Nets*,82,38,44,0.463,19930,3069,6804,0.451,541,1633,0.331,2528,5171,0.489,1359,1817,0.748,846,2627,3473,1716,576,340,1133,1579,8038
Charlotte Hornets,82,33,49,0.402,19905,2913,6932,0.42,498,1566,0.318,2415,5366,0.45,1397,1867,0.748,820,2793,3613,1654,499,448,976,1494,7721
Chicago Bulls*,82,50,32,0.61,19880,3001,6797,0.442,645,1825,0.353,2356,4972,0.474,1618,2067,0.783,959,2792,3751,1781,514,476,1145,1495,8265
Cleveland Cavaliers*,82,53,29,0.646,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457
Dallas Mavericks*,82,50,32,0.61,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628
Denver Nuggets,82,30,52,0.366,19880,3099,7158,0.433,660,2032,0.325,2439,5126,0.476,1462,1991,0.734,1012,2653,3665,1788,641,367,1166,1882,8320
Detroit Pistons,82,32,50,0.39,19830,3041,7038,0.432,703,2043,0.344,2338,4995,0.468,1292,1838,0.703,1051,2630,3681,1771,623,383,1099,1559,8077
Golden State Warriors*,82,67,15,0.817,19730,3410,7137,0.478,883,2217,0.398,2527,4920,0.514,1313,1709,0.768,853,2814,3667,2248,762,496,1185,1628,9016
Houston Rockets*,82,56,26,0.683,19805,3032,6832,0.444,933,2680,0.348,2099,4152,0.506,1525,2133,0.715,958,2624,3582,1820,777,407,1366,1803,8522
Indiana Pacers,82,38,44,0.463,19855,2998,6824,0.439,612,1740,0.352,2386,5084,0.469,1373,1817,0.756,856,2822,3678,1757,505,375,1147,1742,7981
Los Angeles Clippers*,82,56,26,0.683,19730,3228,6830,0.473,827,2202,0.376,2401,4628,0.519,1468,2067,0.71,784,2711,3495,2031,640,409,1012,1749,8751
Los Angeles Lakers,82,21,61,0.256,19930,3054,7020,0.435,532,1546,0.344,2522,5474,0.461,1433,1935,0.741,952,2647,3599,1715,578,366,1086,1741,8073
Memphis Grizzlies*,82,55,27,0.671,19905,3097,6763,0.458,423,1246,0.339,2674,5517,0.485,1445,1869,0.773,856,2634,3490,1777,700,347,1094,1567,8062
Miami Heat,82,37,45,0.451,19730,2885,6330,0.456,556,1659,0.335,2329,4671,0.499,1438,1940,0.741,747,2461,3208,1626,642,372,1214,1636,7764
Milwaukee Bucks*,82,41,41,0.5,19930,3083,6722,0.459,545,1500,0.363,2538,5222,0.486,1312,1734,0.757,876,2574,3450,1932,789,403,1373,1814,8023
Minnesota Timberwolves,82,16,66,0.195,19805,2986,6820,0.438,406,1223,0.332,2580,5597,0.461,1638,2110,0.776,949,2406,3355,1771,668,327,1231,1571,8016
New Orleans Pelicans*,82,45,37,0.549,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.751,942,2621,3563,1806,553,510,1087,1530,8147
New York Knicks,82,17,65,0.207,19855,2882,6726,0.428,560,1614,0.347,2322,5112,0.454,1211,1575,0.769,867,2443,3310,1746,575,382,1206,1768,7535
Oklahoma City Thunder,82,45,37,0.549,19830,3184,7119,0.447,632,1864,0.339,2552,5255,0.486,1524,2020,0.754,1052,2844,3896,1681,598,454,1205,1829,8524
Orlando Magic,82,25,57,0.305,19755,3076,6792,0.453,554,1598,0.347,2522,5194,0.486,1141,1565,0.729,822,2607,3429,1692,647,314,1221,1714,7847
Philadelphia 76ers,82,18,64,0.22,19805,2765,6777,0.408,692,2160,0.32,2073,4617,0.449,1320,1953,0.676,978,2536,3514,1683,789,487,1453,1778,7542
Phoenix Suns,82,39,43,0.476,19880,3178,7038,0.452,698,2048,0.341,2480,4990,0.497,1343,1767,0.76,896,2643,3539,1659,700,385,1238,1744,8397
Portland Trail Blazers*,82,51,31,0.622,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429
Sacramento Kings,82,29,53,0.354,19855,3010,6617,0.455,461,1350,0.341,2549,5267,0.484,1829,2400,0.762,895,2728,3623,1667,550,324,1333,1696,8310
San Antonio Spurs*,82,55,27,0.671,19955,3208,6854,0.468,677,1847,0.367,2531,5007,0.505,1368,1754,0.78,806,2772,3578,2000,657,444,1146,1564,8461
Toronto Raptors*,82,49,33,0.598,19855,3108,6829,0.455,726,2060,0.352,2382,4769,0.499,1585,2014,0.787,881,2526,3407,1701,615,357,1057,1712,8527
Utah Jazz,82,38,44,0.463,19705,2900,6492,0.447,610,1781,0.343,2290,4711,0.486,1391,1929,0.721,988,2617,3605,1632,623,489,1256,1583,7801
Washington Wizards*,82,46,36,0.561,19955,3139,6790,0.462,497,1381,0.36,2642,5409,0.488,1305,1758,0.742,862,2801,3663,1969,601,378,1233,1707,8080
Atlanta Hawks*,82,38,44,0.463,19830,3061,6688,0.458,768,2116,0.363,2293,4572,0.502,1392,1782,0.781,713,2565,3278,2041,680,326,1251,1577,8282
Boston Celtics,82,25,57,0.305,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892
Brooklyn Nets*,82,44,38,0.537,19880,2931,6391,0.459,709,1922,0.369,2222,4469,0.497,1508,2002,0.753,721,2407,3128,1714,705,311,1191,1777,8079
Charlotte Bobcats*,82,43,39,0.524,19905,2976,6730,0.442,516,1471,0.351,2460,5259,0.468,1474,2000,0.737,776,2724,3500,1778,499,421,1010,1493,7942
Chicago Bulls*,82,48,34,0.585,19930,2843,6577,0.432,508,1459,0.348,2335,5118,0.456,1486,1908,0.779,937,2683,3620,1860,594,424,1223,1565,7680
Cleveland Cavaliers,82,33,49,0.402,19930,3036,6955,0.437,584,1640,0.356,2452,5315,0.461,1398,1861,0.751,989,2629,3618,1738,579,304,1163,1640,8054
Dallas Mavericks*,82,49,33,0.598,19830,3249,6858,0.474,721,1877,0.384,2528,4981,0.508,1378,1733,0.795,840,2514,3354,1935,704,356,1110,1636,8597
Denver Nuggets,82,36,46,0.439,19755,3147,7042,0.447,702,1959,0.358,2445,5083,0.481,1563,2154,0.726,1009,2717,3726,1838,615,459,1305,1890,8559
Detroit Pistons,82,29,53,0.354,19780,3182,7124,0.447,507,1580,0.321,2675,5544,0.483,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286
Golden State Warriors*,82,51,31,0.622,19830,3236,7005,0.462,774,2037,0.38,2462,4968,0.496,1303,1731,0.753,896,2819,3715,1912,642,407,1247,1784,8549
Houston Rockets*,82,54,28,0.659,19830,3118,6603,0.472,779,2179,0.358,2339,4424,0.529,1814,2549,0.712,920,2797,3717,1755,621,461,1323,1676,8829
Indiana Pacers*,82,56,26,0.683,19780,2949,6573,0.449,550,1542,0.357,2399,5031,0.477,1485,1907,0.779,834,2831,3665,1651,550,446,1237,1675,7933
Los Angeles Clippers*,82,57,25,0.695,19755,3208,6761,0.474,693,1966,0.352,2515,4795,0.525,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850
Los Angeles Lakers,82,27,55,0.329,19705,3139,6980,0.45,774,2032,0.381,2365,4948,0.478,1390,1835,0.757,745,2620,3365,2006,611,446,1239,1627,8442
Memphis Grizzlies*,82,50,32,0.61,19805,3122,6723,0.464,405,1147,0.353,2717,5576,0.487,1235,1666,0.741,950,2526,3476,1792,631,375,1124,1568,7884
Miami Heat*,82,54,28,0.659,19880,3142,6272,0.501,665,1829,0.364,2477,4443,0.558,1431,1884,0.76,627,2397,3024,1847,732,367,1212,1596,8380
Milwaukee Bucks,82,15,67,0.183,19880,2952,6737,0.438,548,1553,0.353,2404,5184,0.464,1377,1843,0.747,971,2399,3370,1760,541,403,1238,1713,7829
Minnesota Timberwolves,82,40,42,0.488,19855,3189,7175,0.444,600,1757,0.341,2589,5418,0.478,1790,2301,0.778,1024,2644,3668,1963,718,297,1142,1504,8768
New Orleans Pelicans,82,34,48,0.415,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177
New York Knicks,82,37,45,0.451,19855,3027,6739,0.449,759,2038,0.372,2268,4701,0.482,1271,1670,0.761,870,2437,3307,1641,631,367,1063,1815,8084
Oklahoma City Thunder*,82,59,23,0.72,19805,3194,6782,0.471,664,1839,0.361,2530,4943,0.512,1653,2052,0.806,887,2781,3668,1794,678,501,1256,1858,8705
Orlando Magic,82,23,59,0.28,19955,3022,6784,0.445,563,1596,0.353,2459,5188,0.474,1307,1714,0.763,794,2654,3448,1726,630,350,1222,1678,7914
Philadelphia 76ers,82,19,63,0.232,19855,3108,7150,0.435,577,1847,0.312,2531,5303,0.477,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155
Phoenix Suns,82,48,34,0.585,19755,3172,6845,0.463,765,2055,0.372,2407,4790,0.503,1520,2004,0.758,928,2601,3529,1563,688,374,1258,1798,8629
Portland Trail Blazers*,82,54,28,0.659,19855,3207,7134,0.45,770,2071,0.372,2437,5063,0.481,1569,1926,0.815,1022,2786,3808,1904,454,387,1125,1576,8753
Sacramento Kings,82,28,54,0.341,19830,3026,6766,0.447,491,1475,0.333,2535,5291,0.479,1698,2237,0.759,990,2656,3646,1547,587,318,1249,1849,8241
San Antonio Spurs*,82,62,20,0.756,19755,3326,6844,0.486,698,1757,0.397,2628,5087,0.517,1289,1642,0.785,762,2786,3548,2064,604,420,1180,1495,8639
Toronto Raptors*,82,48,34,0.585,19955,2992,6718,0.445,713,1917,0.372,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305
Utah Jazz,82,25,57,0.305,19780,2951,6652,0.444,543,1577,0.344,2408,5075,0.474,1346,1803,0.747,904,2477,3381,1664,570,366,1200,1699,7791
Washington Wizards*,82,44,38,0.537,20055,3177,6920,0.459,647,1704,0.38,2530,5216,0.485,1253,1715,0.731,886,2573,3459,1909,668,377,1204,1675,8254