Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tim Duncan\duncati01,23,74,74,2875,7.9,16.0,.490,0.0,0.1,.091,7.9,15.9,.494,5.7,7.6,.761,3.3,8.2,11.5,2.9,0.8,2.1,3.0,2.6,21.5
2,Avery Johnson\johnsav01,34,82,82,2571,5.6,11.9,.473,0.0,0.1,.111,5.6,11.8,.477,1.6,2.2,.735,0.5,1.8,2.2,6.9,1.1,0.3,2.0,2.1,12.9
3,David Robinson\robinda01,34,80,80,2557,7.4,14.5,.512,0.0,0.0,.000,7.4,14.5,.513,5.2,7.2,.726,2.7,8.1,10.8,2.0,1.4,2.6,2.3,3.5,20.1
4,Mario Elie\eliema01,36,79,79,2217,3.2,7.4,.427,1.2,3.0,.398,2.0,4.4,.446,2.0,2.4,.846,0.8,3.3,4.0,3.1,1.2,0.1,2.1,2.5,9.6
5,Jaren Jackson\jacksja01,32,81,12,1691,4.0,10.4,.381,2.3,6.5,.353,1.7,3.9,.429,0.7,1.1,.647,0.7,3.1,3.9,2.5,1.1,0.1,1.4,3.3,10.9
6,Terry Porter\portete01,36,68,8,1613,4.6,10.3,.447,2.0,4.6,.435,2.6,5.7,.457,3.1,3.8,.806,0.5,3.7,4.3,4.9,1.1,0.2,2.2,1.8,14.3
7,Malik Rose\rosema01,25,74,3,1341,4.7,10.3,.457,0.0,0.1,.333,4.7,10.3,.458,3.8,5.3,.722,3.6,5.4,9.0,1.3,0.9,1.4,2.7,6.2,13.3
8,Jerome Kersey\kerseje01,37,72,18,1310,4.0,9.7,.412,0.0,0.2,.000,4.0,9.5,.423,0.8,1.1,.707,1.6,4.6,6.2,1.9,1.8,1.3,1.4,4.4,8.8
9,Antonio Daniels\daniean01,24,68,1,1195,4.9,10.4,.474,0.7,2.0,.333,4.2,8.4,.507,2.2,3.0,.713,0.5,2.1,2.6,5.3,1.7,0.2,1.7,2.2,12.7
10,Samaki Walker\walkesa01,23,71,7,980,5.0,11.2,.449,0.0,0.0,,5.0,11.2,.449,3.2,4.6,.683,2.8,7.2,10.0,1.4,0.4,1.3,2.4,4.0,13.2
11,Chucky Brown\brownch01,31,30,27,602,4.9,10.5,.466,0.1,0.2,.333,4.8,10.3,.468,1.5,1.9,.806,0.7,3.9,4.6,2.5,0.5,0.6,1.7,3.2,11.4
12,Sean Elliott\elliose01,31,19,19,391,3.5,9.8,.358,1.2,3.4,.351,2.3,6.4,.362,2.3,2.9,.781,0.6,3.8,4.3,2.6,1.1,0.2,1.7,3.1,10.5
13,Steve Kerr\kerrst01,34,32,0,268,4.3,9.9,.432,2.1,4.2,.516,2.1,5.8,.372,1.2,1.5,.818,0.4,2.1,2.6,1.6,0.5,0.0,0.9,1.9,12.0
14,Felton Spencer\spencfe01,32,26,0,149,3.6,8.0,.455,0.0,0.0,,3.6,8.0,.455,4.8,7.2,.667,3.6,5.8,9.4,0.7,1.4,1.9,2.2,7.7,12.1
15,Derrick Dial\dialde01,24,8,0,95,6.4,17.4,.370,1.1,4.5,.250,5.3,12.9,.412,1.1,1.9,.600,5.3,4.5,9.9,1.9,0.4,0.4,2.3,3.8,15.2